1,At a party do you,Interact with many - including strangers,Interact with a few known to you,en
2,Are you more,Realistic than speculative,Speculative than realistic,en
3,Is it worse to:,Have your head in the clouds,Be in a rut,en
4,Are you more impressed by:,Principles,Emotions,en
5,Are more drawn toward the:,Convincing,Touching,en
6,Do you prefer to work:,To deadlines,Just whenever,en
7,Do you tend to choose:,Rather carefully,Somewhat impulsively,en
8,At parties do you:,Stay late with increasing energy,Leave early with decreased energy,en
9,Are you more attracted to:,Sensible people,Imaginative people,en
10,Are you more interested in:,What is actual,What is possible,en
11,In judging others are you more swayed by:,Laws than circumstances,Circumstances than laws,en
12,In approaching others is your inclination to be somewhat:,Objective,Personal,en
13,Are you more:,Punctual,Leisurely,en
14,Does it bother you more having things:,Incomplete,Completed,en
15,In your social groups do you:,Keep abreast of others happenings,Get behind on the news,en
16,In doing ordinary things are you more likely to:,Do it the usual way,Do it your own way,en
17,Writers should:,Say what they mean and mean what they say,Express things more by use of analogy,en
18,Which appeals to you more:,Consistency of thought,Harmonious human relationships,en
19,Are you more comfortable in making:,Logical judgments,Value judgments,en
20,Do you want things:,Settled and decided,Unsettled and undecided,en
21,Would you say you are more:,Serious and determined,Easy-going,en
22,In phoning do you:,Rarely question that it will all be said,Rehearse what youll say,en
23,Facts:,Speak for themselves,Illustrate principles,en
24,Are visionaries:,somewhat annoying,rather fascinating,en
25,Are you more often:,a cool-headed person,a warm-hearted person,en
26,Is it worse to be:,unjust,merciless,en
27,Should one usually let events occur:,by careful selection and choice,randomly and by chance,en
28,Do you feel better about:,having purchased,having the option to buy,en
29,In company do you:,initiate conversation,wait to be approached,en
30,Common sense is:,rarely questionable,frequently questionable,en
31,Children often do not:,make themselves useful enough,exercise their fantasy enough,en
32,In making decisions do you feel more comfortable with:,standards,feelings,en
33,Are you more:,firm than gentle,gentle than firm,en
34,Which is more admirable:,the ability to organize and be methodical,the ability to adapt and make do,en
35,Do you put more value on:,infinite,open-minded,en
36,Does new and non-routine interaction with others:,stimulate and energize you,tax your reserves,en
37,Are you more frequently:,a practical sort of person,a fanciful sort of person,en
38,Are you more likely to:,see how others are useful,see how others see,en
39,Which is more satisfying:,to discuss an issue thoroughly,to arrive at agreement on an issue,en
40,Which rules you more:,your head,your heart,en
41,Are you more comfortable with work that is:,contracted,done on a casual basis,en
42,Do you tend to look for:,the orderly,whatever turns up,en
43,Do you prefer:,many friends with brief contact,a few friends with more lengthy contact,en
44,Do you go more by:,facts,principles,en
45,Are you more interested in:,production and distribution,design and research,en
46,Which is more of a compliment:,There is a very logical person.,There is a very sentimental person.,en
47,Do you value in yourself more that you are:,unwavering,devoted,en
48,Do you more often prefer the,final and unalterable statement,tentative and preliminary statement,en
49,Are you more comfortable:,after a decision,before a decision,en
50,Do you:,speak easily and at length with strangers,find little to say to strangers,en
51,Are you more likely to trust your:,experience,hunch,en
52,Do you feel:,more practical than ingenious,more ingenious than practical,en
53,Which person is more to be complimented  one of:,clear reason,strong feeling,en
54,Are you inclined more to be:,fair-minded,sympathetic,en
55,Is it preferable mostly to:,make sure things are arranged,just let things happen,en
56,In relationships should most things be:,re-negotiable,random and circumstantial,en
57,When the phone rings do you:,hasten to get to it first,hope someone else will answer,en
58,Do you prize more in yourself:,a strong sense of reality,a vivid imagination,en
59,Are you drawn more to:,fundamentals,overtones,en
60,Which seems the greater error:,to be too passionate,to be too objective,en
61,Do you see yourself as basically:,hard-headed,soft-hearted,en
62,Which situation appeals to you more:,the structured and scheduled,the unstructured and unscheduled,en
63,Are you a person that is more:,routinized than whimsical,whimsical than routinized,en
64,Are you more inclined to be:,easy to approach,somewhat reserved,en
65,In writings do you prefer:,the more literal,the more figurative,en
66,Is it harder for you to:,identify with others,utilize others,en
67,Which do you wish more for yourself:,clarity of reason,strength of compassion,en
68,Which is the greater fault:,being indiscriminate,being critical,en
69,Do you prefer the:,planned event,unplanned event,en
70,Do you tend to be more:,deliberate than spontaneous,spontaneous than deliberate,en
1,По време на парти:,Общувате с много хора - включително с непознати,Общувате с малко хора - познати на Вас,bg
2,Вие сте повече:,Реалистични отколкото спекулативни,Спекулативни отколкото реалистични,bg
3,По-лошо е да:,Да бъдете мечтатели,Да карате по утъпкания път,bg
4,Кое Ви впечатлява повече:,Принципи,Емоции,bg
5,По-привлечени сте от:,Убедителното,Трогателното,bg
6,Предпочитате да работите:,с крайни срокове,Когато Ви падне,bg
7,Обикновено избирате:,По-скоро внимателно,Донякъде импулсивно,bg
8,На купони Вие:,Оставате до късно - с увеличаваща се енергия,Тръгвате си рано - с понижена енергия,bg
9,Към кое сте привлечени повече:,Разумни хора,Хора с богато въображение,bg
10,Вие сте по-заинтересовани от:,Това което е реално,Това което е възможно,bg
11,При преценката си за другите клоните повече към:,Законите отколкото обстоятелствата,Обстоятелствата отколкото законите,bg
12,В подхода си към другите Вие сте склонни да бъдете:,Обективни,Персонални,bg
13,Вие сте по-:,Точни,Спокойни,bg
14,Притеснявате се повече когато нещата са:,Незавършени,Завършени,bg
15,В социалните си групи Вие:,Сте в крак със събитията на другите,Изоставате с новините,bg
16,Когато правите обикновени неща е по-вероятно да:,ги правите по обичайния начин,ги правите по Ваш си начин,bg
17,Писателите би трябвало:,Да казват това което мислят и да мислят това което казват,Да изразяват нещата повече използвайки аналогии,bg
18,Кое Ви допада повече:,Последователността на мисълта,Хармоничните човешки взаимоотношения,bg
19,По-лесно взимате:,Логически решения,Решения базирани на важността,bg
20,Желаете нещата да са:,Уредени и решени,Не уредени и не решени,bg
21,Бихте ли казали че сте повече:,Сериозни и целеустремени,Безгрижни,bg
22,Когато говорите по телефона:,Рядко се опасявате че не ще бъде казано всичко,Репетирате това което ще кажете,bg
23,Фактите:,Говорят за себе си,Илюстрират принципи,bg
24,Мечтателите са:,малко досадни,по-скоро очарователни,bg
25,По често сте:,хладнокръвен човек,сърдечен човек,bg
26,Кое е по-лошо да бъдете:,несправедлив,безмилостен,bg
27,Би ли трябвало обикновено събитията да се оставят да се случват:,чрез внимателен подбор и избор,произволно и случайно,bg
28,Добре ли се чуваствате:,когато сте купили нещо,когато имате възможността да купите,bg
29,Когато сте в компания:,започвате разговор,изчаквате да Ви заговорят,bg
30,Здравият разум е:,рядко под въпрос,често под въпрос,bg
31,Децата често не:,умеят да бъдат полезни,упражняват фантазията си достатъчно,bg
32,При вземане на решения се чувствате по-удобно със:,стандарти,чувства,bg
33,Вие сте повече:,твърд(а) отколкото внимателен(на),внимателен(на) отколкото твърд(а),bg
34,Кое предизвиква повече възхищение у Вас:,способността да се организира и да бъде методичен,способността да се адаптира и създава,bg
35,Кое е по-ценно:,безграничността,либералното мислене,bg
36,Новото и необичайно взаимодействие с другите:,Ви стимулира и мотивира,предизвиква Вашата резервираност,bg
37,По-често сте:,практичен тип човек,чудат тип човек,bg
38,По-вероятно е да:,виждате как другите могат да са полезни,виждате през очите на другите,bg
39,Кое доставя по-голямо удовлетворение:,да се обсъди задълбочено даден въпрос,да се стигне до заключение по даден въпрос,bg
40,Кое Ви управлява повече:,главата,сърцето,bg
41,Повече Ви допада работа която е:,договорена,непостоянна,bg
42,Склонни сте да търсите:,правилното,каквото се случи,bg
43,Предпочитате:,много приятели с кратък контакт,малко приятели с по-продължителен контакт,bg
44,Действате повече въз основа на:,факти,принципи,bg
45,Вие сте по-заинтересовани от:,производство и разпространение,проектиране и изследвания,bg
46,Кое е по-голям комплимент:,Ето един много логичен човек,Ето един много сантиментален човек.,bg
47,Цените повече в себе си че сте:,непоколебим(а),посветен(а),bg
48,Често ли предпочитате,окончателното и несменяемо изявление,ориентировъчното и предварително изявление,bg
49,По-удобно се чувствате:,след решение,преди решение,bg
50,Смятате ли че:,говорите лесно и продължително с непознати,имате малко да си кажете с непознати,bg
51,По-склонни сте да се доверите на:,опита,предчувствието,bg
52,Чувствате ли се:,по-практичен отколкото хитроумен,по-хитроумен отколкото практичен,bg
53,Коя личност заслужава повече комплименти? Тази която има:,ясна причина,силно чувство,bg
54,Склонни ли сте да бъдете повече:,справедливи,симпатични,bg
55,За предпочитане ли е предимно да:,да се уверите че нещата са уредени,да оставите нещата просто да се случват,bg
56,В отношенията следва повечето неща да са:,подлежащи на повторно договаряне,случайни и зависещи от събитията,bg
